"SL","Title","Description Summary","Price","Base Price","Discount Price"," Quantity"," Size"," Condition"," Status"," Is Featured"," Cat ID"," SubCat ID"," ChildCat ID"," Barnd ID"," SKU"," Weight"," Lenght"," Height"," Width"," Is Physical"," Warehouse"," Template"," Backorder"," Discount Option"," SPH"," DIA"," CYL"," AXIS"," RAD"," COLOR"," ADD"," UPC"," VTO"," VTO Url"," Lens Option"," Gender Man"," Gender Woman"," B2B Option"," Ek Price"," Discount"," Photo"
"21","CT-B1001 - B1005 AS NOSE PAD","CT-B1001 - B1005 AS NOSE PAD 200Stk.","12.2","12","","10","m","default","active","0","188","91","","6","CT-B1001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123457","0","","0","0","0","1","6.1","0",""
"22","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)200Stk.","31.2","31","","10","m","default","active","0","188","91","","6","CT-D3001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123458","0","","0","0","0","1","15.6","0",""
"23","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","200 Stk.","12.4","12","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123459","0","","0","0","0","1","6.2","0",""
"24","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","200 Stk.","30","30","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123460","0","","0","0","0","1","15","0",""
"25","CTPH-67/71/72/115 SILICONE NOSE PAD FOR RAYBAN - METAL INSIDE","200 Stk.","28.4","28","","10","m","default","active","0","188","91","","6","CTPH-67/71/72/115","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123461","0","","0","0","0","1","14.2","0",""
"26","CTG-Q6/Q7 SILICONE STICK-ON FOR TEMPLE TIP WITH LOGO","200 Stk.","80","80","","10","m","default","active","0","188","91","","6","CTG-Q6/Q7","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123462","0","","0","0","0","1","40","0",""
"27","CTG-1T/2T/3T SILICONE STICK-ON NOSE PAD WITH LOGO","200 Stk.","116","116","","10","m","default","active","0","188","91","","6","CTG-1T/2T/3T","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123463","0","","0","0","0","1","58","0",""
"28","CTG-213/255/256/261 SILICONE NOSE PAD","200 Stk.","42","42","","10","m","default","active","0","188","91","","6","CTG-213/255/256/261","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123464","0","","0","0","0","1","21","0",""
"29","CTG-225/226/227/229/301/302 SILICONE NOSE PAD","200 Stk.","64","64","","10","m","default","active","0","188","91","","6","CTG-225/226/227/229/301/302","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123465","0","","0","0","0","1","32","0",""
"30","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(TWO COLOR)","200 Stk.","28","28","","10","m","default","active","0","188","91","","6","SILICONE","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123466","0","","0","0","0","1","14","0",""
"31","CTPH   PVC NOSE PAD","200 Stk.","4.6","5","","10","m","default","active","0","188","91","","6","CTPH","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123467","0","","0","0","0","1","2.3","0",""
"32","CTPU-1/2/3 PU NOSE PAD","200 Stk.","7.2","7","","10","m","default","active","0","188","91","","6","CTPU-1/2/3","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123468","0","","0","0","0","1","3.6","0",""
"33","CTT-119/122/133/134/135/142/149/188/194 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTT-119/122/133/134/135/142/149/188/194","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123469","0","","0","0","0","1","2.5","0",""
"34","CTT-127/155/156/161 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTT-127/155/156/161","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123470","0","","0","0","0","1","2.9","0",""
"35","CTR-401 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTR-401","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123471","0","","0","0","0","1","2.5","0",""
"36","CTY-303/307 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTY-303/307","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123472","0","","0","0","0","1","2.9","0",""
